-4.296875	-0.585938	0.000000	6.000000
-1.171875	0.976562	0.000000	6.000000
0.390625	0.976562	0.000000	6.000000
0.976562	-0.390625	0.000000	6.000000
1.171875	1.953125	0.000000	6.000000
2.343750	-0.585938	0.000000	6.000000
2.539062	1.757812	0.000000	6.000000
3.125000	0.390625	0.000000	6.000000
-3.710938	-1.953125	0.000000	7.000000
-3.320312	0.390625	0.000000	7.000000
-1.757812	0.000000	0.000000	7.000000
2.734375	-1.757812	0.000000	7.000000
-5.273438	-0.390625	0.000000	8.000000
0.585938	3.125000	0.000000	8.000000
2.148438	-2.929688	0.000000	8.000000
3.906250	-2.148438	0.000000	8.000000
-4.296875	-2.734375	0.000000	1.000000
-3.710938	1.171875	0.000000	1.000000
-2.734375	-2.148438	0.000000	1.000000
-1.367188	1.953125	0.000000	1.000000
0.390625	-1.171875	0.000000	1.000000
1.171875	3.906250	0.000000	1.000000
3.320312	2.539062	0.000000	1.000000
4.296875	0.195312	0.000000	1.000000
