-4.296875	0.781250	0.000000	6.000000
-2.929688	-0.195312	0.000000	6.000000
-1.562500	0.390625	0.000000	6.000000
-0.390625	-0.390625	0.000000	6.000000
1.953125	-0.390625	0.000000	6.000000
3.125000	0.390625	0.000000	6.000000
4.492188	-0.390625	0.000000	6.000000
-2.929688	-1.367188	0.000000	8.000000
0.781250	0.390625	0.000000	8.000000
-4.882812	0.000000	0.000000	1.000000
-4.101562	1.367188	0.000000	1.000000
-1.562500	0.976562	0.000000	1.000000
-0.390625	-1.171875	0.000000	1.000000
1.953125	-1.171875	0.000000	1.000000
3.125000	0.976562	0.000000	1.000000
4.492188	-0.976562	0.000000	1.000000
5.273438	0.585938	0.000000	1.000000
