0.000000	-2.929688	0.000000	0.000000
0.390625	3.515625	0.000000	0.000000
1.757812	-1.953125	0.000000	0.000000
1.953125	-0.195312	0.000000	0.000000
-1.562500	-1.757812	0.000000	2.000000
-0.390625	0.000000	0.000000	4.000000
0.390625	1.171875	0.000000	4.000000
0.390625	2.343750	0.000000	4.000000
0.781250	-2.148438	0.000000	4.000000
0.781250	0.000000	0.000000	4.000000
1.367188	-0.976562	0.000000	4.000000
-0.976562	-0.976562	0.000000	5.000000
-0.390625	-1.953125	0.000000	5.000000
-1.562500	0.000000	0.000000	6.000000
